order ID,PR number,UMC,Date of request,PPU,Quantity requested,vendor ID,vendor name,total price
OD2005627,920808375,5254A03229,03-03-2021,5803,100,V1ABCIL,ABC Infra Ltd.,580300
OD2005440,920805555,5452A0339,03-03-2021,5650,280,V2TNSHEPL,TNS HEAVY ENGINEERING PVT. LTD.,1582000
OD2005628,920808375,5254A03230,08-03-2021,4763,100,V3PPL,PVC Pipes Ltd.,476300
OD2005439,920805555,5452A0343,09-03-2021,7340,400,V4BWPL,BEVCON WAYORS PVT. LTD.,2936000
OD2005629,920808375,5254A03240,11-03-2021,6843,100,V5SRL,Sri Ram Ltd.,684300
OD2005438,920805555,5452A0520,15-03-2021,3955,30,V6ZCC,ZATAKIA COMMERICIAL CORPORATION,118650
OD2005436,920805555,5452A0518,05-03-2021,4578,200,V7JAAC,JANA & AMP CO.,915600
OD2005430,920805555,5452A0523,22-03-2021,5287,300,V8ROYE,Royal Enterprises,1586100
OD2005589,920808375,5254A03229,29-03-2021,5763,300,V3PPL,PVC Pipes Ltd.,1728900
OD2005431,920805555,5452A0339,30-03-2021,5680,80,V2TNSHEPL,TNS HEAVY ENGINEERING PVT. LTD.,454400
OD2005566,920808375,5254A03230,27-03-2021,4720,130,V1ABCIL,ABC Infra Ltd.,613600
OD2005467,920805555,5452A0343,24-03-2021,7346,320,V6ZCC,ZATAKIA COMMERICIAL CORPORATION,2350720
OD2005545,920808375,5254A03240,26-03-2021,6823,280,V5SRL,Sri Ram Ltd.,1910440
OD2005523,920805555,5452A0520,23-03-2021,3999,330,V4BWPL,BEVCON WAYORS PVT. LTD.,1319670
OD2005496,920805555,5452A0518,26-03-2021,4508,260,V8ROYE,Royal Enterprises,1172080
OD2005513,920805555,5452A0523,27-03-2021,5302,290,V7JAAC,JANA & AMP CO.,1537580
